,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
yo Yami,"Regarde-le, un chrétien converti à l'islam ",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,"Les jeunes sont des moutons, car ils suivent bètement les hommes politiques; ",,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",Les chiens de Touadéra (Porteur de Cache nez contre le COVID-19) qui sont venus faire les distributions de masques à la population; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,"Ton cul, méfies-toi de moi; ",,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,Tu es trop noir; ,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,"Regarde-le, faible; ",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,Musulman ; Etranger,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,"Nos frères, compatriotes centrafricains  ",,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,"Je le connais bien, il fait pratique la réligion islamique",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,Regarde moi ses cheveux comme ceux qui ont la maladie de coachicor; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,Sorcière; ,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),Toi tu es un analphabète; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,"Toi qui as le nom des musulmans là, vient d'abord; ",,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,Regarde-moi cette prostituée là;,,,,,,,,,,,,,,,,,,,,,,,,
Kata,"Avec votre réligion là, vous ne verrez pas Dieu; ",,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,Tu n'as jamais fais le sport; ,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,Vous les étrangers là; criez-vous sur qui la?;,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,"Toi, le vaut rien aussi",,,,,,,,,,,,,,,,,,,,,,,,
Banda,Votre politique est trop dangereuse; ,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,Regarde-moi je ne suis pas ta famille; ,,,,,,,,,,,,,,,,,,,,,,,,
WALI,Regarde-moi ce PD; ,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,"au moins vous , vous avez déjà réussi. ",,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,"Votre réligion là, n'est pas pour Dieu; ",,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,Ne me fais pas des conneries; ,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,Tu es une prostituée; ,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,Toi le lézard là aussi; ,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,"Si tu protège un zairois, tu protège un serpent; ",,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,tu es comparable aux asticots?,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,tu es dépourvu de valeur,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,"Celui là, il est venu quand?",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,Ragotiste; ,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",Ils sont déjà partis ;,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,"Regarde-le, couvercle de marmite; ",,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,Tu ressembles aux voyoux; ,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,Ton cul ; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,la jalousie est mauvaise,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,Tu es trop l'orgueil; ,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,"Celui là, n'a qu'une seule tenue; ",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,Regarde sa tète; Non Yakoma (Esclave),,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,Tu es de l'ethnie Gbaya; ,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),Tu connais; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,Tu es l'un des milices chrétien; ,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,Tu es une prostituée; ,,,,,,,,,,,,,,,,,,,,,,,,
Kata,Tu est un milce musulman; ,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,Tu es de l'ethnie Gbaya; ,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,"Il ne vous reste pas beaucoup, mangez-y bien; ",,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,"Vraiment, ceux de l'ethnie Gbaya là;",,,,,,,,,,,,,,,,,,,,,,,,
Banda,"On verra dans l'avenir, tu t'amuses avec qui?",,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,Vous les Gbaya là; ,,,,,,,,,,,,,,,,,,,,,,,,
WALI,Regarde-moi tous ces stupides là; ,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,village,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,"tôt ou tard, nous allons incendier vos maisons ; ",,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,On vous identifie toujours en mangeant le riz mélangé avec le héricot?,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,non déchiffré,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,"Cette mère là, c'est une mendiante; ",,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,Regarde moi ces ragotistes là; ,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,Cette femme dispose de forme de fesse extra-ordinaire,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,tu travailles comme un praticien traditionnel,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,La famille sorcière; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,accompagnateur,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",Sans valeur,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,il l'a trahi; ,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,Frère compatriote centrafricain; ,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,"Mon frère,regarde; ",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,"Chers compatriotes centrafricains, que personne ne vous trompent; ",,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,Chers frères travailleurs; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,Chers frères; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,Sœur; ,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,Frère; ,,,,,,,,,,,,,,,,,,,,,,,,
Kata,incohérent,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,chiot,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,Célibataire; ,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,"En étant désordonné, tu sera  considèré comme un bandit; ",,,,,,,,,,,,,,,,,,,,,,,,
Banda,Athé,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,Autre ethnie,,,,,,,,,,,,,,,,,,,,,,,,
WALI,pour savoir toujours que je suis stupide devant lui,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,"Regarde-le , stupide pamiles gens importants; Certaines personnes sont des super insolents; ",,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,c'est un sidéen,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi, vous les vieux là; ,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,Toi chrétien converti à l'islam,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,Regarde-le musulman; ,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,"Regarde-le, pieds de crevettes;  ",,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,Tu ess trop orgueilleux; vas labàs; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,Tu es milice chrétien; ,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,"Regarde-le, les femmes ont fuit",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,"Tu ne sais rien; Tu tousses surmoi là, est-tu un cabris; ",,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",Regarde-le voyou; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,Ne me fais de conneries,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,tu es un super provocateur,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,Ce sont ceux de l'ethnie banda qui sont les plus excités sexuellement; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,C'est depuis qu'il perd toujours comme un drépagocythose; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,"Ne le choisis pas parce qu'il ne mérite pas, mieux choisir une autre personne ",,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,Dieu ne connait pas votre réligion; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,"Tu n'es pas de notre ethnie donc , tu ne participe pas à la prise de notre décision ici; ",,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,"Toi là, tu n'es même pas un centrafricain; ",,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),"Toi là, pour tout tu demandes, es tu un mendiant?",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,"Toi peuhl, vos places sont dans la brousse; ",,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,"Frère, compatriote centrafricain; ",,,,,,,,,,,,,,,,,,,,,,,,
Kata,"Je ne sais pas mais vous de l'ethnie Gbaya là, vous voulez toujours vous vantez; ",,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,Je dis: vagin de ta mère; ,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,Tu es un éternel suiviste,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,Musulman indicipliné,,,,,,,,,,,,,,,,,,,,,,,,
Banda,"Regarde-les, prostituées;",,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,il s'agit de la sorcellerie,,,,,,,,,,,,,,,,,,,,,,,,
WALI,les musulmans sont les serpent vénimeux,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,Vous voulez montrez que tout c'est vous; ,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,tu ne mérite pas une vraie femme,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,Dépendant total,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,il est versatil,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,"Ce commandant là, fait la mauvaise politique; ",,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,"Toi là , tu es une demie personne; ",,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,Mauvais employé,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,La maladie de Sida,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,"Nos pères, compatriotes; ",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",Mon frère compatriote; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,ceux qui ont pu utiliser les armes hier,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,Mon frère de la même confession réligieuse; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,"Mon frère, si tu veux tousser, je te conseille de tousser un peu loin;  ",,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,Ce sont frères qui sont entrain de partir ,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,Les frères centrafricains; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,Sœur; ,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,Sœur; ,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),les centrafricains,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,Mon frère; ,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,C'est notre frère; ,,,,,,,,,,,,,,,,,,,,,,,,
Kata,donc tu n'as pas envie d'une chose particulière; ,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,Ce n'est pas bon d'insulter ton père; ,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
yo Yami,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
"ITA TI MBI, WA BE AFRICA",,,,,,,,,,,,,,,,,,,,,,,,,
ITA WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I  A WA BE AFRIKA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI BE AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,
ITA WALI,,,,,,,,,,,,,,,,,,,,,,,,,
FRERE ( ITA ),,,,,,,,,,,,,,,,,,,,,,,,,
ITA TI MBI TI BE,,,,,,,,,,,,,,,,,,,,,,,,,
Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,,,,,,,,,
Kata,,,,,,,,,,,,,,,,,,,,,,,,,
Detite regiense,,,,,,,,,,,,,,,,,,,,,,,,,
Zo ti kete kodro,,,,,,,,,,,,,,,,,,,,,,,,,
Lawa lawa eke finire na a la,,,,,,,,,,,,,,,,,,,,,,,,,
Banda,,,,,,,,,,,,,,,,,,,,,,,,,
Kondo a guida,,,,,,,,,,,,,,,,,,,,,,,,,
WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Seleka,,,,,,,,,,,,,,,,,,,,,,,,,
i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,,,,,,,,,
Ndeko ti mbi,,,,,,,,,,,,,,,,,,,,,,,,,
A ITA TI I,,,,,,,,,,,,,,,,,,,,,,,,,
A ita ti i so a gbou ngombé na tere ti a ita ti ala,,,,,,,,,,,,,,,,,,,,,,,,,
I TA TI MBI TI WALI,,,,,,,,,,,,,,,,,,,,,,,,,
Me ne Yami,,,,,,,,,,,,,,,,,,,,,,,,,
